Date,IT Dep.,CostElement,Country,Budget
1/2/2020,Architecture,Other,USA,300
1/3/2020,Architecture,Other,USA,"9,675"
1/4/2020,Architecture,Other,USA,300
1/5/2020,Architecture,Other,USA,300
1/6/2020,Architecture,Other,USA,300
1/7/2020,Architecture,Other,USA,300
1/8/2020,Architecture,Other,USA,300
1/9/2020,Architecture,Other,USA,"7,050"
1/10/2020,Architecture,Other,USA,"7,050"
1/11/2020,Architecture,Other,USA,"7,050"
1/12/2020,Architecture,Other,USA,"7,050"
1/1/2020,Architecture,Recognition,USA,15
1/2/2020,Architecture,Recognition,USA,15
1/3/2020,Architecture,Recognition,USA,15
1/4/2020,Architecture,Recognition,USA,15
1/5/2020,Architecture,Recognition,USA,15
1/6/2020,Architecture,Recognition,USA,15
1/7/2020,Architecture,Recognition,USA,15
1/8/2020,Architecture,Recognition,USA,15
1/9/2020,Architecture,Recognition,USA,15
1/10/2020,Architecture,Recognition,USA,15
1/11/2020,Architecture,Recognition,USA,15
1/12/2020,Architecture,Recognition,USA,15
1/1/2020,Architecture,Software,USA,625
1/2/2020,Architecture,Software,USA,625
1/3/2020,Architecture,Software,USA,625
1/4/2020,Architecture,Software,USA,625
1/5/2020,Architecture,Software,USA,625
1/6/2020,Architecture,Software,USA,625
1/7/2020,Architecture,Software,USA,625
1/8/2020,Architecture,Software,USA,625
1/9/2020,Architecture,Software,USA,625
1/10/2020,Architecture,Software,USA,625
1/11/2020,Architecture,Software,USA,625
1/12/2020,Architecture,Software,USA,625
1/1/2020,Architecture,Supplies,USA,311
1/2/2020,Architecture,Supplies,USA,311
1/3/2020,Architecture,Supplies,USA,311
1/4/2020,Architecture,Supplies,USA,311
1/5/2020,Architecture,Supplies,USA,311
1/6/2020,Architecture,Supplies,USA,311
1/7/2020,Architecture,Supplies,USA,311
1/8/2020,Architecture,Supplies,USA,311
1/9/2020,Architecture,Supplies,USA,311
1/10/2020,Architecture,Supplies,USA,311
1/11/2020,Architecture,Supplies,USA,311
1/12/2020,Architecture,Supplies,USA,311
1/1/2020,Architecture,Taxes,USA,28
1/2/2020,Architecture,Taxes,USA,28
1/3/2020,Architecture,Taxes,USA,28
1/4/2020,Architecture,Taxes,USA,28
1/5/2020,Architecture,Taxes,USA,28
1/6/2020,Architecture,Taxes,USA,28
1/7/2020,Architecture,Taxes,USA,28
1/8/2020,Architecture,Taxes,USA,28
1/9/2020,Architecture,Taxes,USA,28
1/10/2020,Architecture,Taxes,USA,28
1/11/2020,Architecture,Taxes,USA,28
1/12/2020,Architecture,Taxes,USA,28
1/1/2020,Architecture,Telecomm,USA,768
1/2/2020,Architecture,Telecomm,USA,768
1/3/2020,Architecture,Telecomm,USA,768
1/4/2020,Architecture,Telecomm,USA,768
1/5/2020,Architecture,Telecomm,USA,768
1/6/2020,Architecture,Telecomm,USA,768
1/7/2020,Architecture,Telecomm,USA,768
1/8/2020,Architecture,Telecomm,USA,768
1/9/2020,Architecture,Telecomm,USA,768
1/10/2020,Architecture,Telecomm,USA,768
1/11/2020,Architecture,Telecomm,USA,768
1/12/2020,Architecture,Telecomm,USA,768
1/1/2020,Architecture,Training,USA,119
1/2/2020,Architecture,Training,USA,"1,347"
1/3/2020,Architecture,Training,USA,"1,347"
1/4/2020,Architecture,Training,USA,"1,347"
1/5/2020,Architecture,Training,USA,"1,347"
1/6/2020,Architecture,Training,USA,"1,347"
1/7/2020,Architecture,Training,USA,"1,347"
1/8/2020,Architecture,Training,USA,"1,347"
1/9/2020,Architecture,Training,USA,"1,347"
1/10/2020,Architecture,Training,USA,"1,347"
1/11/2020,Architecture,Training,USA,"1,347"
1/12/2020,Architecture,Training,USA,119
1/2/2020,Architecture,Travel,USA,655
1/3/2020,Architecture,Travel,USA,655
1/4/2020,Architecture,Travel,USA,655
1/5/2020,Architecture,Travel,USA,655
